q,eigenvalue,eigenvalue_squared,multiplicity,spectral_radius_squared,status
2,+sqrt(34),34,1,34,exact_symbolic
2,-sqrt(34),34,1,34,exact_symbolic
2,+sqrt(32),32,1,34,exact_symbolic
2,-sqrt(32),32,1,34,exact_symbolic
2,+sqrt(2),2,31,34,exact_symbolic
2,-sqrt(2),2,31,34,exact_symbolic
2,0,0,32,34,exact_symbolic
3,+sqrt(165),165,1,165,exact_symbolic
3,-sqrt(165),165,1,165,exact_symbolic
3,+sqrt(162),162,2,165,exact_symbolic
3,-sqrt(162),162,2,165,exact_symbolic
3,+sqrt(3),3,161,165,exact_symbolic
3,-sqrt(3),3,161,165,exact_symbolic
3,0,0,323,165,exact_symbolic
4,+sqrt(516),516,1,516,exact_symbolic
4,-sqrt(516),516,1,516,exact_symbolic
4,+sqrt(512),512,3,516,exact_symbolic
4,-sqrt(512),512,3,516,exact_symbolic
4,+sqrt(4),4,511,516,exact_symbolic
4,-sqrt(4),4,511,516,exact_symbolic
4,0,0,1534,516,exact_symbolic
5,+sqrt(1255),1255,1,1255,exact_symbolic
5,-sqrt(1255),1255,1,1255,exact_symbolic
5,+sqrt(1250),1250,4,1255,exact_symbolic
5,-sqrt(1250),1250,4,1255,exact_symbolic
5,+sqrt(5),5,1249,1255,exact_symbolic
5,-sqrt(5),5,1249,1255,exact_symbolic
5,0,0,4997,1255,exact_symbolic
6,+sqrt(2598),2598,1,2598,exact_symbolic
6,-sqrt(2598),2598,1,2598,exact_symbolic
6,+sqrt(2592),2592,5,2598,exact_symbolic
6,-sqrt(2592),2592,5,2598,exact_symbolic
6,+sqrt(6),6,2591,2598,exact_symbolic
6,-sqrt(6),6,2591,2598,exact_symbolic
6,0,0,12956,2598,exact_symbolic
