q,cycle_length,cycle_count,nonzero,length_residue_mod_4,status
2,4,0,False,0,exact_formula
2,6,0,False,2,exact_formula
2,8,496,True,0,exact_formula
2,10,0,False,2,exact_formula
2,12,0,False,0,exact_formula
2,14,0,False,2,exact_formula
2,16,0,False,0,exact_formula
2,18,0,False,2,exact_formula
2,20,0,False,0,exact_formula
2,22,0,False,2,exact_formula
2,24,0,False,0,exact_formula
3,4,0,False,0,exact_formula
3,6,0,False,2,exact_formula
3,8,39123,True,0,exact_formula
3,10,0,False,2,exact_formula
3,12,4173120,True,0,exact_formula
3,14,0,False,2,exact_formula
3,16,0,False,0,exact_formula
3,18,0,False,2,exact_formula
3,20,0,False,0,exact_formula
3,22,0,False,2,exact_formula
3,24,0,False,0,exact_formula
4,4,0,False,0,exact_formula
4,6,0,False,2,exact_formula
4,8,784896,True,0,exact_formula
4,10,0,False,2,exact_formula
4,12,533729280,True,0,exact_formula
4,14,0,False,2,exact_formula
4,16,203751152640,True,0,exact_formula
4,18,0,False,2,exact_formula
4,20,0,False,0,exact_formula
4,22,0,False,2,exact_formula
4,24,0,False,0,exact_formula
5,4,0,False,0,exact_formula
5,6,0,False,2,exact_formula
5,8,7806250,True,0,exact_formula
5,10,0,False,2,exact_formula
5,12,19484400000,True,0,exact_formula
5,14,0,False,2,exact_formula
5,16,36445570200000,True,0,exact_formula
5,18,0,False,2,exact_formula
5,20,36328944375360000,True,0,exact_formula
5,22,0,False,2,exact_formula
5,24,0,False,0,exact_formula
6,4,0,False,0,exact_formula
6,6,0,False,2,exact_formula
6,8,50369040,True,0,exact_formula
6,10,0,False,2,exact_formula
6,12,347882169600,True,0,exact_formula
6,14,0,False,2,exact_formula
6,16,2026500608462400,True,0,exact_formula
6,18,0,False,2,exact_formula
6,20,8391333719521105920,True,0,exact_formula
6,22,0,False,2,exact_formula
6,24,18090316943667584179200,True,0,exact_formula
